trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",20,0,-126.34787949765933,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9801}",25,0,-80.68186064671595,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9702989999999999}",35,0,-129.4642036486408,"{0: 18, 1: 5, 2: 11, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.96059601}",20,0,-77.30943008299111,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9509900498999999}",25,0,-103.82023075481146,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9414801494009999}",30,13,-42.15181339879786,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.9320653479069899}",25,0,-128.35046575923468,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.92274469442792}",20,0,-132.77532573713233,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.9135172474836407}",20,2,-105.69096775321387,"{0: 7, 1: 3, 2: 6, 3: 2, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.9043820750088043}",25,0,-35.868509006320416,"{0: 21, 1: 3, 2: 0, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.8953382542587163}",20,0,-75.83685803051054,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.8863848717161291}",20,0,-102.42383580853964,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.8775210229989678}",20,0,-70.7857424339444,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.8687458127689781}",25,0,-65.92369111204256,"{0: 15, 1: 5, 2: 4, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.8600583546412883}",25,0,-237.37828461276598,"{0: 13, 1: 0, 2: 7, 3: 1, 4: 4}",0
16,False,"{'a': 0.5, 'e': 0.8514577710948754}",25,0,-197.8767514817778,"{0: 13, 1: 1, 2: 7, 3: 1, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.8429431933839266}",25,0,-69.0564258525217,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.8345137614500874}",20,0,-40.28471217937629,"{0: 14, 1: 4, 2: 1, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.8261686238355865}",25,14,-40.589586395768336,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': 0.8179069375972307}",20,0,-101.1583387055312,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.8097278682212583}",30,1,-139.62041764632977,"{0: 20, 1: 1, 2: 4, 3: 2, 4: 2}",1
22,False,"{'a': 0.5, 'e': 0.8016305895390458}",20,10,-46.992095815743355,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
23,False,"{'a': 0.5, 'e': 0.7936142836436553}",25,0,-74.22252614878057,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.7856781408072188}",20,0,-52.47290997455666,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.7778213593991465}",25,0,-83.51521607990564,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.7700431458051551}",25,0,-91.89715953123395,"{0: 14, 1: 4, 2: 5, 3: 2, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.7623427143471035}",20,3,-63.201176793468015,"{0: 11, 1: 3, 2: 1, 3: 1, 4: 1}",1
28,False,"{'a': 0.5, 'e': 0.7547192872036325}",20,0,-102.15422688682443,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
29,False,"{'a': 0.5, 'e': 0.7471720943315961}",25,0,-35.19651239695724,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.7397003733882802}",35,0,-91.67768542984588,"{0: 25, 1: 2, 2: 7, 3: 0, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.7323033696543974}",20,0,-89.7631348505875,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 2}",0
32,False,"{'a': 0.5, 'e': 0.7249803359578534}",25,0,-61.24034134902105,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 0}",0
33,False,"{'a': 0.5, 'e': 0.7177305325982748}",20,0,-77.73093289301764,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
