trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.65, 'e': 0.99}",25,0,-176.5787561752786,"{0: 12, 1: 3, 2: 7, 3: 1, 4: 2}",0
2,False,"{'a': 0.65, 'e': 0.9801}",20,0,-83.32864182316499,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
3,False,"{'a': 0.65, 'e': 0.9702989999999999}",30,0,-123.90723175054976,"{0: 16, 1: 5, 2: 6, 3: 3, 4: 0}",0
4,False,"{'a': 0.65, 'e': 0.96059601}",20,0,-84.28803726019956,"{0: 11, 1: 6, 2: 2, 3: 0, 4: 1}",0
5,False,"{'a': 0.65, 'e': 0.9509900498999999}",25,0,-82.47618690154223,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
6,False,"{'a': 0.65, 'e': 0.9414801494009999}",25,0,-237.98436388296076,"{0: 11, 1: 6, 2: 2, 3: 2, 4: 4}",0
7,False,"{'a': 0.65, 'e': 0.9320653479069899}",20,13,-31.601175631677727,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
8,False,"{'a': 0.65, 'e': 0.92274469442792}",25,0,-135.6642121650895,"{0: 14, 1: 1, 2: 7, 3: 2, 4: 1}",0
9,False,"{'a': 0.65, 'e': 0.9135172474836407}",30,0,-274.49204588427216,"{0: 15, 1: 2, 2: 8, 3: 0, 4: 5}",0
10,False,"{'a': 0.65, 'e': 0.9043820750088043}",25,0,-155.4924107390883,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
11,False,"{'a': 0.65, 'e': 0.8953382542587163}",30,0,-163.203138786492,"{0: 18, 1: 4, 2: 4, 3: 2, 4: 2}",0
12,False,"{'a': 0.65, 'e': 0.8863848717161291}",20,0,-71.76324819426816,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
13,False,"{'a': 0.65, 'e': 0.8775210229989678}",30,0,-88.44816710117813,"{0: 21, 1: 4, 2: 3, 3: 1, 4: 1}",0
14,False,"{'a': 0.65, 'e': 0.8687458127689781}",30,0,-93.85586312570396,"{0: 22, 1: 1, 2: 5, 3: 1, 4: 1}",0
15,False,"{'a': 0.65, 'e': 0.8600583546412883}",25,0,-126.7143950363578,"{0: 16, 1: 4, 2: 2, 3: 1, 4: 2}",0
16,False,"{'a': 0.65, 'e': 0.8514577710948754}",20,0,-59.936948827108516,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
17,False,"{'a': 0.65, 'e': 0.8429431933839266}",20,0,-77.29823786485557,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
18,False,"{'a': 0.65, 'e': 0.8345137614500874}",30,0,-54.04318653429721,"{0: 19, 1: 6, 2: 5, 3: 0, 4: 0}",0
19,False,"{'a': 0.65, 'e': 0.8261686238355865}",20,11,-67.06067383315447,"{0: 4, 1: 1, 2: 3, 3: 0, 4: 1}",1
20,False,"{'a': 0.65, 'e': 0.8179069375972307}",20,0,-39.21702826506444,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
21,False,"{'a': 0.65, 'e': 0.8097278682212583}",30,9,-80.00602226741317,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 1}",1
22,False,"{'a': 0.65, 'e': 0.8016305895390458}",20,12,8.693952368271269,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.65, 'e': 0.7936142836436553}",30,8,-112.15966956250038,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 2}",1
24,False,"{'a': 0.65, 'e': 0.7856781408072188}",25,0,-163.02262425158435,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 3}",0
25,False,"{'a': 0.65, 'e': 0.7778213593991465}",20,0,-47.500003580819126,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
26,False,"{'a': 0.65, 'e': 0.7700431458051551}",20,0,-71.62902140590234,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
27,False,"{'a': 0.65, 'e': 0.7623427143471035}",25,0,-63.145220256939844,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
28,False,"{'a': 0.65, 'e': 0.7547192872036325}",30,0,-201.0412409521692,"{0: 16, 1: 5, 2: 5, 3: 1, 4: 3}",0
29,False,"{'a': 0.65, 'e': 0.7471720943315961}",20,5,-47.281306911169644,"{0: 10, 1: 3, 2: 1, 3: 0, 4: 1}",1
30,False,"{'a': 0.65, 'e': 0.7397003733882802}",25,0,-151.06318629017983,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
31,False,"{'a': 0.65, 'e': 0.7323033696543974}",25,0,-42.16622775508315,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
32,False,"{'a': 0.65, 'e': 0.7249803359578534}",25,0,-16.538840925384115,"{0: 20, 1: 3, 2: 1, 3: 1, 4: 0}",0
33,False,"{'a': 0.65, 'e': 0.7177305325982748}",25,0,-98.28866784673689,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
34,False,"{'a': 0.65, 'e': 0.7105532272722921}",25,0,-15.839068593499855,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
35,False,"{'a': 0.65, 'e': 0.7034476949995692}",35,5,-100.29280942331255,"{0: 21, 1: 4, 2: 2, 3: 1, 4: 2}",1
36,False,"{'a': 0.65, 'e': 0.6964132180495735}",20,2,-65.88887587910324,"{0: 12, 1: 3, 2: 1, 3: 1, 4: 1}",1
37,False,"{'a': 0.65, 'e': 0.6894490858690777}",25,8,-27.88027112652468,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 0}",1
38,False,"{'a': 0.65, 'e': 0.682554595010387}",25,17,-29.74779457074159,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
39,False,"{'a': 0.65, 'e': 0.6757290490602831}",25,14,-59.829480758045825,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 1}",1
40,False,"{'a': 0.65, 'e': 0.6689717585696803}",20,0,-56.80831939335129,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
41,False,"{'a': 0.65, 'e': 0.6622820409839835}",20,0,-3.818554186897255,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
42,False,"{'a': 0.65, 'e': 0.6556592205741436}",20,0,-23.502215084061124,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
43,False,"{'a': 0.65, 'e': 0.6491026283684022}",20,0,-67.21196817121454,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
44,False,"{'a': 0.65, 'e': 0.6426116020847181}",20,2,-53.55247929095003,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 1}",1
45,False,"{'a': 0.65, 'e': 0.6361854860638709}",20,8,-2.199767595465846,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
46,False,"{'a': 0.65, 'e': 0.6298236312032323}",20,0,-44.87371862581771,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
47,False,"{'a': 0.65, 'e': 0.6235253948912}",30,11,-17.39717064819785,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 0}",1
48,False,"{'a': 0.65, 'e': 0.617290140942288}",25,5,-8.048443272256758,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",1
49,False,"{'a': 0.65, 'e': 0.6111172395328651}",25,0,-66.02401275746162,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
50,False,"{'a': 0.65, 'e': 0.6050060671375365}",20,0,-68.49883551808875,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
51,False,"{'a': 0.65, 'e': 0.5989560064661611}",35,2,-43.48048517813946,"{0: 26, 1: 1, 2: 5, 3: 1, 4: 0}",1
52,False,"{'a': 0.65, 'e': 0.5929664464014994}",20,0,-31.890076544117484,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
53,False,"{'a': 0.65, 'e': 0.5870367819374844}",25,0,-121.42344115660241,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 3}",0
54,False,"{'a': 0.65, 'e': 0.5811664141181095}",25,0,-120.14045191437219,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
55,False,"{'a': 0.65, 'e': 0.5753547499769285}",20,1,-74.98483369233989,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 2}",1
56,False,"{'a': 0.65, 'e': 0.5696012024771592}",20,6,-27.75455265811978,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
57,False,"{'a': 0.65, 'e': 0.5639051904523876}",20,0,-74.94697297345884,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
58,False,"{'a': 0.65, 'e': 0.5582661385478638}",20,0,-40.8624868631642,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
59,False,"{'a': 0.65, 'e': 0.5526834771623851}",20,0,-58.66882733599907,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
60,False,"{'a': 0.65, 'e': 0.5471566423907612}",20,0,-18.251888460855714,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
61,False,"{'a': 0.65, 'e': 0.5416850759668536}",20,0,-1.0304784246093088,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
62,False,"{'a': 0.65, 'e': 0.536268225207185}",20,0,-63.41980904266693,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
63,False,"{'a': 0.65, 'e': 0.5309055429551132}",25,2,-101.10113611008968,"{0: 17, 1: 0, 2: 4, 3: 0, 4: 2}",1
64,False,"{'a': 0.65, 'e': 0.525596487525562}",20,2,-34.984481442880664,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 0}",1
65,False,"{'a': 0.65, 'e': 0.5203405226503064}",20,12,5.4244599461865475,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
66,False,"{'a': 0.65, 'e': 0.5151371174238033}",25,20,7.331757869812964,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.65, 'e': 0.5099857462495653}",20,0,1.3157231465794936,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
68,False,"{'a': 0.65, 'e': 0.5048858887870696}",30,10,20.775599365868715,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
69,False,"{'a': 0.65, 'e': 0.4998370298991989}",30,2,-127.46358939470015,"{0: 20, 1: 0, 2: 4, 3: 2, 4: 2}",1
70,False,"{'a': 0.65, 'e': 0.49483865960020695}",25,10,-62.057947931029666,"{0: 10, 1: 2, 2: 1, 3: 1, 4: 1}",1
71,False,"{'a': 0.65, 'e': 0.4898902730042049}",20,10,-3.9808236806045114,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
72,False,"{'a': 0.65, 'e': 0.48499137027416284}",20,13,2.0658232007928694,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
73,False,"{'a': 0.65, 'e': 0.4801414565714212}",25,17,12.752483369983752,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.65, 'e': 0.475340042005707}",20,8,1.438950662775655,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
75,False,"{'a': 0.65, 'e': 0.47058664158564995}",20,11,4.3680628570723465,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
76,False,"{'a': 0.65, 'e': 0.4658807751697934}",25,9,-54.5039054998079,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 2}",1
77,False,"{'a': 0.65, 'e': 0.4612219674180955}",25,12,-3.3666906924585027,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
78,False,"{'a': 0.65, 'e': 0.45660974774391455}",20,3,-49.72109705856647,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 1}",1
79,False,"{'a': 0.65, 'e': 0.4520436502664754}",25,1,-15.896015856249665,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 0}",1
80,False,"{'a': 0.65, 'e': 0.44752321376381066}",20,6,-103.91141360676727,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 2}",1
81,False,"{'a': 0.65, 'e': 0.44304798162617254}",25,0,-62.83904160656543,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
82,False,"{'a': 0.65, 'e': 0.4386175018099108}",20,0,-21.144944841378685,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
83,False,"{'a': 0.65, 'e': 0.4342313267918117}",20,0,-12.143813000662293,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
84,False,"{'a': 0.65, 'e': 0.4298890135238936}",30,0,-27.72830829554353,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",0
85,False,"{'a': 0.65, 'e': 0.42559012338865465}",20,0,-4.029297013281791,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
86,False,"{'a': 0.65, 'e': 0.4213342221547681}",20,5,16.711298973789397,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.65, 'e': 0.41712087993322045}",20,12,-5.135569746378123,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
88,False,"{'a': 0.65, 'e': 0.41294967113388825}",25,8,-5.35048634292519,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
89,False,"{'a': 0.65, 'e': 0.40882017442254937}",25,6,10.693277734285273,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
90,False,"{'a': 0.65, 'e': 0.4047319726783239}",35,21,2.593026828977634,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
91,False,"{'a': 0.65, 'e': 0.40068465295154065}",30,19,7.504057968733582,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
92,False,"{'a': 0.65, 'e': 0.39667780642202527}",30,18,-8.970367371975062,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
93,False,"{'a': 0.65, 'e': 0.392711028357805}",25,7,-14.827876661832851,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
94,False,"{'a': 0.65, 'e': 0.38878391807422696}",25,0,-42.91885416841593,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
95,False,"{'a': 0.65, 'e': 0.3848960788934847}",30,1,-31.27059734502482,"{0: 24, 1: 3, 2: 1, 3: 0, 4: 1}",1
96,False,"{'a': 0.65, 'e': 0.38104711810454983}",20,13,-10.596216829339506,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
97,False,"{'a': 0.65, 'e': 0.37723664692350434}",25,0,34.36721868789892,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
98,False,"{'a': 0.65, 'e': 0.37346428045426927}",20,14,-0.06474285001962166,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
99,False,"{'a': 0.65, 'e': 0.36972963764972655}",20,3,22.901027313604637,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.65, 'e': 0.36603234127322926}",30,1,-74.5070468038459,"{0: 21, 1: 3, 2: 3, 3: 1, 4: 1}",1
101,False,"{'a': 0.65, 'e': 0.36237201786049694}",20,4,-52.460298106467896,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 1}",1
102,False,"{'a': 0.65, 'e': 0.358748297681892}",20,15,6.504582696779652,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.65, 'e': 0.35516081470507305}",20,8,0.11106338642269353,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
104,False,"{'a': 0.65, 'e': 0.3516092065580223}",20,12,-29.02045982558655,"{0: 5, 1: 0, 2: 2, 3: 1, 4: 0}",1
105,False,"{'a': 0.65, 'e': 0.34809311449244207}",25,13,-5.336115937670099,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
106,False,"{'a': 0.65, 'e': 0.34461218334751764}",20,11,-4.63941826814915,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
107,False,"{'a': 0.65, 'e': 0.34116606151404244}",30,6,-41.32365442754946,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 1}",1
108,False,"{'a': 0.65, 'e': 0.337754400898902}",20,9,-2.0826670990052376,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
109,False,"{'a': 0.65, 'e': 0.334376856889913}",25,13,23.413968322458864,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.65, 'e': 0.33103308832101386}",30,13,-27.668943756087245,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 1}",1
111,False,"{'a': 0.65, 'e': 0.3277227574378037}",20,8,-92.40428872643693,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 2}",1
112,False,"{'a': 0.65, 'e': 0.3244455298634257}",20,0,-34.15850695831213,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
113,False,"{'a': 0.65, 'e': 0.3212010745647914}",25,8,-14.624587956559399,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 0}",1
114,False,"{'a': 0.65, 'e': 0.3179890638191435}",20,0,-41.161183274629934,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
115,False,"{'a': 0.65, 'e': 0.31480917318095203}",25,16,14.188253109732873,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.65, 'e': 0.3116610814491425}",20,4,19.20473669656274,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.65, 'e': 0.30854447063465107}",20,12,-20.182383299057133,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
118,False,"{'a': 0.65, 'e': 0.30545902592830454}",20,16,6.526549182977595,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.65, 'e': 0.3024044356690215}",25,0,26.30668314946843,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
120,False,"{'a': 0.65, 'e': 0.29938039131233124}",25,8,3.9567681929443177,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
121,False,"{'a': 0.65, 'e': 0.2963865873992079}",25,19,12.238417863884248,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
