trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.97}",20,0,-162.2356945247621,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.9409}",25,0,-108.18022718672539,"{0: 12, 1: 3, 2: 9, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.912673}",25,0,-124.14530718129987,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.8852928099999999}",20,0,-72.03173991000284,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.8587340256999999}",25,0,-112.66006605753306,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.8329720049289999}",35,0,-148.52718067853044,"{0: 26, 1: 1, 2: 3, 3: 3, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.8079828447811299}",20,0,-33.215024704092826,"{0: 14, 1: 4, 2: 1, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.783743359437696}",20,13,-25.569154355891808,"{0: 4, 1: 0, 2: 3, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.7602310586545651}",20,0,-125.18865448173692,"{0: 8, 1: 3, 2: 8, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.7374241268949281}",25,0,-153.94063058871404,"{0: 15, 1: 4, 2: 1, 3: 3, 4: 2}",1
11,False,"{'a': 0.5, 'e': 0.7153014030880802}",25,0,-55.805504981856984,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.6938423609954378}",25,0,-73.57939715697668,"{0: 17, 1: 1, 2: 5, 3: 2, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.6730270901655747}",20,0,-150.20350243945578,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.6528362774606075}",30,0,-117.69174327104842,"{0: 19, 1: 5, 2: 4, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.6332511891367892}",20,0,-90.49755968697987,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.6142536534626856}",25,0,-112.620862802217,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.595826043858805}",25,7,-15.968396344279949,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.5779512625430409}",20,0,-130.4079706747534,"{0: 10, 1: 5, 2: 2, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.5606127246667496}",20,12,-18.178643926823817,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.5437943429267471}",20,0,-175.11351036116912,"{0: 7, 1: 3, 2: 7, 3: 1, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",25,0,-81.97743466658156,"{0: 14, 1: 4, 2: 6, 3: 1, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,0,-161.4040759672725,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
3,True,"{'a': 0, 'e': 0}",20,0,-138.91857683410205,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
4,True,"{'a': 0, 'e': 0}",25,0,-135.0008205935501,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",20,0,-144.3591831994248,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
6,True,"{'a': 0, 'e': 0}",20,0,-216.91865064665893,"{0: 7, 1: 3, 2: 5, 3: 2, 4: 3}",0
7,True,"{'a': 0, 'e': 0}",30,0,-110.20600563552848,"{0: 18, 1: 6, 2: 4, 3: 1, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",25,0,-233.2035252819394,"{0: 14, 1: 4, 2: 1, 3: 1, 4: 5}",0
9,True,"{'a': 0, 'e': 0}",25,0,-83.50357180793796,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,0,-120.10376054696405,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
